Horizon_k_s,Model,MAE,RMSE,R2,sMAPE
60,linear_regression,44.25986563597951,135.8479368861972,-0.11874602859453498,130.43616547896102
60,svr,44.2620485047376,135.84671070915007,-0.11872583285888583,153.49791987705072
60,xgboost,44.25979646052884,135.84774772260423,-0.11874291296575268,112.29570722080892
60,mlp,44.68207704100132,135.56793644232783,-0.11413901625868261,176.7809213223479
300,linear_regression,64.31413052494901,163.76774640263864,-0.18230927685515264,85.68905051773568
300,svr,64.3131330125346,163.76905586713704,-0.18232818409724083,68.77945561967786
300,xgboost,64.31389700174009,163.76776893607263,-0.18230960221213488,83.23643539824592
300,mlp,64.33554675494516,163.74889134577776,-0.18203704711723123,162.6372493536194
900,linear_regression,67.14947746786336,167.33066696666052,-0.1918303892974793,77.36124721901659
900,svr,67.14654713160924,167.33346262322377,-0.19187021434980944,62.19939000262033
900,xgboost,67.14949875446801,167.33060233129746,-0.1918294685532258,78.0140191200968
900,mlp,67.16400255980375,167.337208349298,-0.1919235744994956,157.7144691993268
1800,linear_regression,72.77290755117268,174.1924414993236,-0.21124838879609076,72.46892709697335
1800,svr,72.76999966078083,174.19616158453024,-0.21130012462674874,63.63265197618292
1800,xgboost,72.77346487901113,174.1917179789855,-0.2112383268092881,73.94652233496672
1800,mlp,72.78567174951928,174.21279414652193,-0.21153144988750205,149.619046870468
